YEAR,STATION_TYPE,STATION_ID,SAMPLE_ID,STATION_DEPTH_m,TOW_DIST_m,SP_CODE,SP_NAME,ABUNDANCE
2008,OpenWater,RO08353,20088491,7.9,500,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08067,20088610,7.9,250,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08069,20088650,1.2,250,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08076,20088691,1.8,250,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08082,20088790,0.9,250,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08085,20088850,3.4,250,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08085,20088851,5.5,250,NA,*** no species valid effort ***,0
2008,TidalCreek,RT08086,20088870,1.8,250,NA,*** no species valid effort ***,0
2009,OpenWater,RO09366,20098429,10.7,500,NA,*** no species valid effort ***,0
2009,OpenWater,RO09369,20098490,5.5,500,NA,*** no species valid effort ***,0
2009,OpenWater,RO09370,20098510,9.4,500,NA,*** no species valid effort ***,0
2009,OpenWater,RO09373,20098570,3.7,500,NA,*** no species valid effort ***,0
2009,TidalCreek,RT09101,20098749,2.4,250,NA,*** no species valid effort ***,0
2009,TidalCreek,RT09101,20098750,3.7,250,NA,*** no species valid effort ***,0
2009,TidalCreek,RT09114,20098890,3.7,250,NA,*** no species valid effort ***,0
2010,OpenWater,RO10382,20108428,7.9,500,NA,*** no species valid effort ***,0
2010,OpenWater,RO10389,20108528,2.1,500,NA,*** no species valid effort ***,0
2010,OpenWater,RO10389,20108529,3,500,NA,*** no species valid effort ***,0
2011,OpenWater,RO11302,20118329,12.2,500,NA,*** no species valid effort ***,0
2011,OpenWater,RO11306,20118410,5.2,500,NA,*** no species valid effort ***,0
2012,OpenWater,RO12318,20128104,10.1,500,NA,*** no species valid effort ***,0
2012,OpenWater,RO12324,20128225,6.4,500,NA,*** no species valid effort ***,0
2012,OpenWater,RO12325,20128244,1.5,500,NA,*** no species valid effort ***,0
2012,OpenWater,RO12325,20128245,2.1,500,NA,*** no species valid effort ***,0
2012,TidalCreek,RT12038,20128569,2.1,250,NA,*** no species valid effort ***,0
2013,OpenWater,RO13337,20138109,11.9,500,NA,*** no species valid effort ***,0
2013,OpenWater,RO13337,20138110,11.6,500,NA,*** no species valid effort ***,0
2014,OpenWater,RO14349,20148049,5.8,500,NA,*** no species valid effort ***,0
2014,OpenWater,RO14349,20148050,5.8,500,NA,*** no species valid effort ***,0
2014,OpenWater,RO14355,20148169,4,500,NA,*** no species valid effort ***,0
2015,OpenWater,RO15371,20158169,4.3,500,NA,*** no species valid effort ***,0
2015,OpenWater,RO15378,20158290,3.7,500,NA,*** no species valid effort ***,0
2016,OpenWater,RO16379,20168009,1.8,500,NA,*** no species valid effort ***,0
2016,OpenWater,RO16382,20168070,9.1,500,NA,*** no species valid effort ***,0
2016,OpenWater,RO16391,20168229,2.1,500,NA,*** no species valid effort ***,0
2016,TidalCreek,RT16139,20168590,6.1,250,NA,*** no species valid effort ***,0
2017,OpenWater,RO17398,20178015,5.5,500,NA,*** no species valid effort ***,0
2017,OpenWater,RO17400,20178054,3.7,500,NA,*** no species valid effort ***,0
2017,OpenWater,RO17406,20178154,9.4,500,NA,*** no species valid effort ***,0
2017,OpenWater,RO17406,20178155,9.1,500,NA,*** no species valid effort ***,0
2017,OpenWater,RO17410,20178289,4.9,500,NA,*** no species valid effort ***,0
2017,OpenWater,RO17410,20178290,4.3,500,NA,*** no species valid effort ***,0
2017,TidalCreek,RT17142,20178329,4.3,250,NA,*** no species valid effort ***,0
2017,TidalCreek,RT17146,20178390,1.8,250,NA,*** no species valid effort ***,0
2017,TidalCreek,RT17148,20178410,2.1,250,NA,*** no species valid effort ***,0
2017,TidalCreek,RT17151,20178470,0.9,250,NA,*** no species valid effort ***,0
2017,TidalCreek,RT17160,20178570,1.5,250,NA,*** no species valid effort ***,0
2018,OpenWater,RO18414,20188089,7,500,NA,*** no species valid effort ***,0
2018,OpenWater,RO18424,20188270,3.4,500,NA,*** no species valid effort ***,0
2018,TidalCreek,RT18176,20188410,1.2,180,NA,*** no species valid effort ***,0
2018,TidalCreek,RT18183,20188510,1.8,250,NA,*** no species valid effort ***,0
2001,OpenWater,RO01165,20017213,4.9,500,D128,Achelous spinimanus,1
2001,TidalCreek,RT01624,20017774,3.7,250,D128,Achelous spinimanus,1
2002,TidalCreek,RT022027,20027053,2.7,250,D128,Achelous spinimanus,2
2017,OpenWater,RO17408,20178250,1.8,500,D128,Achelous spinimanus,1
2006,OpenWater,RO06318,20068310,1.8,500,A079,Alosa aestivalis,1
2001,OpenWater,RO01122,20017533,2.1,500,A080,Alosa mediocris,1
2005,OpenWater,RO056098,20058150,3.7,500,A080,Alosa mediocris,10
2005,OpenWater,RO056098,20058151,4.9,500,A080,Alosa mediocris,11
2007,TidalCreek,RT07065,20079590,2.1,250,A080,Alosa mediocris,1
1999,OpenWater,RO99307,19995233,2,500,A082,Alosa sapidissima,1
1999,TidalCreek,RT99040,19995872,4,250,A082,Alosa sapidissima,1
2000,TidalCreek,RT00544,20006553,2.7,250,A426,Aluterus schoepfii,1
2001,OpenWater,RO01117,20017353,2.1,500,A426,Aluterus schoepfii,1
2001,OpenWater,RO01132,20018033,5.2,500,A426,Aluterus schoepfii,1
2006,OpenWater,RO06323,20068411,1.2,500,A426,Aluterus schoepfii,1
2007,TidalCreek,RT07043,20079390,4.9,250,A426,Aluterus schoepfii,1
2008,OpenWater,RO08354,20088510,4.9,500,A426,Aluterus schoepfii,3
2014,TidalCreek,RT14078,20148469,2.4,250,A426,Aluterus schoepfii,1
2017,TidalCreek,RT17149,20178430,2.1,250,A426,Aluterus schoepfii,1
2000,OpenWater,RO00007,20006413,7.6,500,A107,Ameiurus catus,2
2000,OpenWater,RO00007,20006415,4.9,500,A107,Ameiurus catus,2
2000,TidalCreek,RT00526,20006515,3.4,250,A107,Ameiurus catus,2
2004,TidalCreek,RT042194,20049150,1.2,250,A107,Ameiurus catus,2
2006,TidalCreek,RT06021,20068770,3,250,A107,Ameiurus catus,1
2006,TidalCreek,RT06021,20068771,2.4,250,A107,Ameiurus catus,4
2018,TidalCreek,RT18183,20188509,1.8,250,A107,Ameiurus catus,1
2003,TidalCreek,RT032048,20038810,0.9,250,B369R,Amiidae,1
1999,OpenWater,RO99303,19995852,1,500,A090,Anchoa hepsetus,1
1999,OpenWater,RO99305,19995433,10,500,A090,Anchoa hepsetus,21
1999,OpenWater,RO99315,19995512,3,500,A090,Anchoa hepsetus,1
1999,OpenWater,RO99322,19995032,2.8,500,A090,Anchoa hepsetus,7
1999,OpenWater,RO99323,19995652,2,510,A090,Anchoa hepsetus,2
1999,OpenWater,RO99325,19995392,6,500,A090,Anchoa hepsetus,7
1999,OpenWater,RO99325,19995393,6,500,A090,Anchoa hepsetus,2
1999,OpenWater,RO99330,19995572,4,500,A090,Anchoa hepsetus,1
1999,TidalCreek,RT99004,19996272,1.3,250,A090,Anchoa hepsetus,6
1999,TidalCreek,RT99005,19995472,1,250,A090,Anchoa hepsetus,1
1999,TidalCreek,RT99005,19995473,1,250,A090,Anchoa hepsetus,6
1999,TidalCreek,RT99006,19996152,1,250,A090,Anchoa hepsetus,1
1999,TidalCreek,RT99008,19995312,2.8,250,A090,Anchoa hepsetus,2
1999,TidalCreek,RT99009,19995932,2,250,A090,Anchoa hepsetus,1
1999,TidalCreek,RT99028,19996112,3,250,A090,Anchoa hepsetus,1
1999,TidalCreek,RT99038,19996092,2,250,A090,Anchoa hepsetus,1
1999,TidalCreek,RT99038,19996093,2,250,A090,Anchoa hepsetus,4
1999,TidalCreek,RT99040,19995872,4,250,A090,Anchoa hepsetus,2
2000,OpenWater,RO00016,20006573,1.5,500,A090,Anchoa hepsetus,3
2000,OpenWater,RO00036,20006335,6.1,500,A090,Anchoa hepsetus,1
2000,OpenWater,RO00059,20006915,2.7,500,A090,Anchoa hepsetus,5
2001,OpenWater,RO01131,20017793,1.5,500,A090,Anchoa hepsetus,1
2001,OpenWater,RO01144,20017873,2.4,500,A090,Anchoa hepsetus,4
2002,OpenWater,RO026002,20027973,3,500,A090,Anchoa hepsetus,1
2002,OpenWater,RO026006,20028152,4.6,500,A090,Anchoa hepsetus,1
2004,OpenWater,RO046066,20048110,4.6,500,A090,Anchoa hepsetus,1
2004,OpenWater,RO046074,20048271,8,500,A090,Anchoa hepsetus,1
2004,OpenWater,RO046078,20048351,3.4,500,A090,Anchoa hepsetus,2
2004,OpenWater,RO046079,20048371,2.1,500,A090,Anchoa hepsetus,2
2004,OpenWater,RO046083,20048450,4.9,500,A090,Anchoa hepsetus,1
2004,TidalCreek,RT042083,20048990,1.2,250,A090,Anchoa hepsetus,1
2006,TidalCreek,RT06006,20068570,4,250,A090,Anchoa hepsetus,1
2006,TidalCreek,RT06037,20068991,1.2,250,A090,Anchoa hepsetus,1
2007,OpenWater,RO07333,20079111,3.4,500,A090,Anchoa hepsetus,1
2007,OpenWater,RO07340,20079251,3.5,510,A090,Anchoa hepsetus,1
2007,TidalCreek,RT07057,20079511,1.8,250,A090,Anchoa hepsetus,1
2010,OpenWater,RO10378,20108368,2.1,500,A090,Anchoa hepsetus,1
2013,OpenWater,RO13336,20138089,5.2,500,A090,Anchoa hepsetus,1
2013,OpenWater,RO13345,20138269,1.5,500,A090,Anchoa hepsetus,1
2013,TidalCreek,RT13052,20138409,2.4,250,A090,Anchoa hepsetus,1
2014,OpenWater,RO14353,20148129,6.4,500,A090,Anchoa hepsetus,12
2015,OpenWater,RO15366,20158069,1.2,500,A090,Anchoa hepsetus,3
2015,OpenWater,RO15366,20158070,0.9,500,A090,Anchoa hepsetus,4
2016,OpenWater,RO16386,20168130,3,500,A090,Anchoa hepsetus,1
2016,OpenWater,RO16388,20168169,6.4,500,A090,Anchoa hepsetus,1
2017,OpenWater,RO17408,20178249,1.8,500,A090,Anchoa hepsetus,1
2017,OpenWater,RO17409,20178269,3,500,A090,Anchoa hepsetus,1
2018,OpenWater,RO18425,20188290,3.8,500,A090,Anchoa hepsetus,2
2018,TidalCreek,RT18179,20188450,4.3,250,A090,Anchoa hepsetus,5
1999,OpenWater,RO99307,19995232,2,500,A092,Anchoa mitchilli,1
1999,OpenWater,RO99308,19995793,10,500,A092,Anchoa mitchilli,2
1999,OpenWater,RO99310,19995892,5,500,A092,Anchoa mitchilli,5
1999,OpenWater,RO99310,19995893,5,500,A092,Anchoa mitchilli,5
1999,OpenWater,RO99311,19995252,3,500,A092,Anchoa mitchilli,4
1999,OpenWater,RO99311,19995253,3,500,A092,Anchoa mitchilli,8
1999,OpenWater,RO99312,19995152,6,500,A092,Anchoa mitchilli,2
1999,OpenWater,RO99315,19995512,3,500,A092,Anchoa mitchilli,5
1999,OpenWater,RO99315,19995513,3,500,A092,Anchoa mitchilli,11
1999,OpenWater,RO99316,19996012,3.5,500,A092,Anchoa mitchilli,14
1999,OpenWater,RO99316,19996013,3.5,500,A092,Anchoa mitchilli,3
1999,OpenWater,RO99317,19995133,5.3,500,A092,Anchoa mitchilli,14
1999,OpenWater,RO99318,19995773,4,500,A092,Anchoa mitchilli,3
1999,OpenWater,RO99320,19995532,10,500,A092,Anchoa mitchilli,1
1999,OpenWater,RO99321,19996032,2,500,A092,Anchoa mitchilli,1
1999,OpenWater,RO99321,19996033,2,500,A092,Anchoa mitchilli,2
1999,OpenWater,RO99323,19995652,2,510,A092,Anchoa mitchilli,23
1999,OpenWater,RO99323,19995653,2,500,A092,Anchoa mitchilli,7
1999,OpenWater,RO99324,19995452,5,500,A092,Anchoa mitchilli,4
1999,OpenWater,RO99324,19995453,5,500,A092,Anchoa mitchilli,12
1999,OpenWater,RO99326,19996252,2,500,A092,Anchoa mitchilli,8
1999,OpenWater,RO99326,19996253,2,500,A092,Anchoa mitchilli,10
1999,OpenWater,RO99327,19995112,2,500,A092,Anchoa mitchilli,17
1999,OpenWater,RO99327,19995113,2,500,A092,Anchoa mitchilli,1
1999,OpenWater,RO99329,19995492,5.5,500,A092,Anchoa mitchilli,15
1999,OpenWater,RO99329,19995493,5.5,500,A092,Anchoa mitchilli,8
1999,OpenWater,RO99330,19995572,4,500,A092,Anchoa mitchilli,6
1999,OpenWater,RO99330,19995573,4,500,A092,Anchoa mitchilli,1
1999,TidalCreek,RT99003,19995292,4.5,250,A092,Anchoa mitchilli,1
1999,TidalCreek,RT99003,19995293,4.5,250,A092,Anchoa mitchilli,1
1999,TidalCreek,RT99006,19996152,1,250,A092,Anchoa mitchilli,12
1999,TidalCreek,RT99006,19996153,1,250,A092,Anchoa mitchilli,10
1999,TidalCreek,RT99007,19996193,3.3,250,A092,Anchoa mitchilli,3
1999,TidalCreek,RT99008,19995312,2.8,250,A092,Anchoa mitchilli,8
1999,TidalCreek,RT99008,19995313,2.8,250,A092,Anchoa mitchilli,5
1999,TidalCreek,RT99009,19995932,2,250,A092,Anchoa mitchilli,11
1999,TidalCreek,RT99009,19995933,2,250,A092,Anchoa mitchilli,4
1999,TidalCreek,RT99010,19995732,2,250,A092,Anchoa mitchilli,2
1999,TidalCreek,RT99012,19996052,4,250,A092,Anchoa mitchilli,1
1999,TidalCreek,RT99017,19995052,1.1,250,A092,Anchoa mitchilli,6
1999,TidalCreek,RT99017,19995053,1.1,250,A092,Anchoa mitchilli,1
1999,TidalCreek,RT99019,19995593,2,250,A092,Anchoa mitchilli,9
1999,TidalCreek,RT99021,19995093,1.5,250,A092,Anchoa mitchilli,4
1999,TidalCreek,RT99022,19995552,2,250,A092,Anchoa mitchilli,8
1999,TidalCreek,RT99024,19995672,3,250,A092,Anchoa mitchilli,16
1999,TidalCreek,RT99024,19995673,3,250,A092,Anchoa mitchilli,24
1999,TidalCreek,RT99026,19995192,2,250,A092,Anchoa mitchilli,3
1999,TidalCreek,RT99027,19995012,2.8,250,A092,Anchoa mitchilli,2
1999,TidalCreek,RT99027,19995013,2.8,250,A092,Anchoa mitchilli,12
1999,TidalCreek,RT99028,19996112,3,250,A092,Anchoa mitchilli,17
1999,TidalCreek,RT99028,19996113,3,250,A092,Anchoa mitchilli,3
1999,TidalCreek,RT99030,19995912,1.3,250,A092,Anchoa mitchilli,26
1999,TidalCreek,RT99030,19995913,1.3,250,A092,Anchoa mitchilli,17
1999,TidalCreek,RT99036,19995212,2,250,A092,Anchoa mitchilli,2
1999,TidalCreek,RT99038,19996092,2,250,A092,Anchoa mitchilli,18
1999,TidalCreek,RT99038,19996093,2,250,A092,Anchoa mitchilli,9
2000,OpenWater,RO00008,20006175,6.7,500,A092,Anchoa mitchilli,3
2000,OpenWater,RO00009,20006013,1.2,500,A092,Anchoa mitchilli,106
2000,OpenWater,RO00009,20006015,2.1,500,A092,Anchoa mitchilli,49
2000,OpenWater,RO00016,20006575,4,500,A092,Anchoa mitchilli,8
2000,OpenWater,RO00017,20006255,5.5,500,A092,Anchoa mitchilli,1
2000,OpenWater,RO00020,20007073,2.7,500,A092,Anchoa mitchilli,11
2000,OpenWater,RO00020,20007075,2.7,500,A092,Anchoa mitchilli,11
2000,OpenWater,RO00033,20006653,1.2,500,A092,Anchoa mitchilli,16
2000,OpenWater,RO00033,20006655,0.9,500,A092,Anchoa mitchilli,53
2000,OpenWater,RO00045,20006493,3,500,A092,Anchoa mitchilli,3
2000,OpenWater,RO00047,20006133,8.2,500,A092,Anchoa mitchilli,3
2000,OpenWater,RO00058,20006353,5.8,500,A092,Anchoa mitchilli,3
2000,OpenWater,RO00058,20006355,5.8,500,A092,Anchoa mitchilli,1
2000,TidalCreek,RT00501,20006973,3.4,250,A092,Anchoa mitchilli,13
2000,TidalCreek,RT00501,20006975,3.4,250,A092,Anchoa mitchilli,10
2000,TidalCreek,RT00504,20006193,2.1,250,A092,Anchoa mitchilli,16
2000,TidalCreek,RT00504,20006195,1.8,250,A092,Anchoa mitchilli,18
2000,TidalCreek,RT00505,20006593,2.1,250,A092,Anchoa mitchilli,4
2000,TidalCreek,RT00505,20006595,2.1,250,A092,Anchoa mitchilli,2
2000,TidalCreek,RT00517,20006073,2.4,250,A092,Anchoa mitchilli,8
2000,TidalCreek,RT00517,20006075,2.4,250,A092,Anchoa mitchilli,4
2000,TidalCreek,RT00518,20006773,1.2,250,A092,Anchoa mitchilli,19
2000,TidalCreek,RT00518,20006775,2.1,250,A092,Anchoa mitchilli,3
2000,TidalCreek,RT00519,20006375,2.4,250,A092,Anchoa mitchilli,1
2000,TidalCreek,RT00521,20006613,2.1,250,A092,Anchoa mitchilli,9
2000,TidalCreek,RT00521,20006615,2.4,250,A092,Anchoa mitchilli,7
2000,TidalCreek,RT00523,20006853,1.5,250,A092,Anchoa mitchilli,2
2000,TidalCreek,RT00541,20006935,3.7,250,A092,Anchoa mitchilli,5
2000,TidalCreek,RT00542,20006533,0.6,250,A092,Anchoa mitchilli,1
2000,TidalCreek,RT00542,20006535,0.6,280,A092,Anchoa mitchilli,1
2000,TidalCreek,RT00543,20006215,1.8,250,A092,Anchoa mitchilli,37
2000,TidalCreek,RT00544,20006553,2.7,250,A092,Anchoa mitchilli,1
2000,TidalCreek,RT00544,20006555,5.2,250,A092,Anchoa mitchilli,7
2000,TidalCreek,RT00547,20006793,1.5,250,A092,Anchoa mitchilli,5
2000,TidalCreek,RT00548,20006233,1.2,250,A092,Anchoa mitchilli,6
2000,TidalCreek,RT00548,20006235,1.2,250,A092,Anchoa mitchilli,2
2000,TidalCreek,RT00554,20006993,2.4,250,A092,Anchoa mitchilli,4
2000,TidalCreek,RT00554,20006995,2.7,250,A092,Anchoa mitchilli,1
2000,TidalCreek,RT00556,20007015,2.4,220,A092,Anchoa mitchilli,2
2000,TidalCreek,RT00557,20006393,0.9,250,A092,Anchoa mitchilli,3
2000,TidalCreek,RT00557,20006395,1.2,250,A092,Anchoa mitchilli,4
2000,TidalCreek,RT00558,20006633,2.7,250,A092,Anchoa mitchilli,3
2000,TidalCreek,RT00558,20006635,2.1,250,A092,Anchoa mitchilli,2
2001,OpenWater,RO01108,20017413,2.1,500,A092,Anchoa mitchilli,1
2001,OpenWater,RO01114,20017594,1.2,500,A092,Anchoa mitchilli,1
2001,OpenWater,RO01117,20017354,1.8,500,A092,Anchoa mitchilli,2
2001,OpenWater,RO01122,20017533,2.1,500,A092,Anchoa mitchilli,5
2001,OpenWater,RO01122,20017534,2.1,500,A092,Anchoa mitchilli,3
2001,OpenWater,RO01123,20017993,7.6,500,A092,Anchoa mitchilli,1
2001,OpenWater,RO01131,20017793,1.5,500,A092,Anchoa mitchilli,10
2001,OpenWater,RO01131,20017794,1.8,500,A092,Anchoa mitchilli,8
2001,OpenWater,RO01132,20018033,5.2,500,A092,Anchoa mitchilli,8
2001,OpenWater,RO01132,20018034,3.7,500,A092,Anchoa mitchilli,5
2001,OpenWater,RO01133,20017653,12.5,500,A092,Anchoa mitchilli,1
2001,OpenWater,RO01144,20017873,2.4,500,A092,Anchoa mitchilli,7
2001,OpenWater,RO01146,20017313,7.6,500,A092,Anchoa mitchilli,3
2001,OpenWater,RO01146,20017314,7.6,500,A092,Anchoa mitchilli,6
2001,OpenWater,RO01148,20017714,2.7,500,A092,Anchoa mitchilli,4
2001,OpenWater,RO01162,20018053,4.9,500,A092,Anchoa mitchilli,1
2001,OpenWater,RO01162,20018054,4.9,500,A092,Anchoa mitchilli,2
2001,OpenWater,RO01164,20017673,6.7,500,A092,Anchoa mitchilli,3
2001,OpenWater,RO01164,20017674,6.9,500,A092,Anchoa mitchilli,2
2001,TidalCreek,RT01606,20017493,3,250,A092,Anchoa mitchilli,6
2001,TidalCreek,RT01606,20017494,2.1,250,A092,Anchoa mitchilli,7
2001,TidalCreek,RT01624,20017773,3,250,A092,Anchoa mitchilli,3
2001,TidalCreek,RT01624,20017774,3.7,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01625,20018013,1.5,250,A092,Anchoa mitchilli,16
2001,TidalCreek,RT01625,20018014,1.8,250,A092,Anchoa mitchilli,16
2001,TidalCreek,RT01633,20017153,3,250,A092,Anchoa mitchilli,2
2001,TidalCreek,RT01642,20017933,1.8,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01645,20017473,2.4,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01646,20017253,2,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01647,20017893,1,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01649,20017914,4,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01654,20017553,1.5,250,A092,Anchoa mitchilli,2
2001,TidalCreek,RT01664,20017734,4,250,A092,Anchoa mitchilli,1
2001,TidalCreek,RT01665,20017813,1.2,250,A092,Anchoa mitchilli,11
2001,TidalCreek,RT01665,20017814,1.2,250,A092,Anchoa mitchilli,6
2002,OpenWater,RO026006,20028152,4.6,500,A092,Anchoa mitchilli,4
2002,OpenWater,RO026006,20028153,3.7,500,A092,Anchoa mitchilli,14
2002,OpenWater,RO026012,20027573,4.3,500,A092,Anchoa mitchilli,2
2002,OpenWater,RO026021,20027633,2.1,500,A092,Anchoa mitchilli,1
2002,OpenWater,RO026024,20027492,3.4,500,A092,Anchoa mitchilli,4
2002,OpenWater,RO026025,20027293,2.4,500,A092,Anchoa mitchilli,1
2002,OpenWater,RO026151,20027412,4,500,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022002,20028192,4.3,260,A092,Anchoa mitchilli,2
2002,TidalCreek,RT022002,20028193,3.7,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022006,20027832,3.4,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022006,20027833,4,250,A092,Anchoa mitchilli,3
2002,TidalCreek,RT022007,20027452,1.5,250,A092,Anchoa mitchilli,2
2002,TidalCreek,RT022007,20027453,1.5,250,A092,Anchoa mitchilli,2
2002,TidalCreek,RT022008,20027752,2.1,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022008,20027753,2.1,250,A092,Anchoa mitchilli,5
2002,TidalCreek,RT022009,20027432,3.7,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022009,20027433,2.4,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022016,20027552,2.7,250,A092,Anchoa mitchilli,4
2002,TidalCreek,RT022022,20027912,1.2,250,A092,Anchoa mitchilli,2
2002,TidalCreek,RT022022,20027913,0.9,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022027,20027052,2.4,250,A092,Anchoa mitchilli,11
2002,TidalCreek,RT022028,20028052,6.7,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022153,20027672,1.5,250,A092,Anchoa mitchilli,1
2002,TidalCreek,RT022153,20027673,1.2,250,A092,Anchoa mitchilli,20
2002,TidalCreek,RT022155,20027692,2.7,250,A092,Anchoa mitchilli,2
2002,TidalCreek,RT022162,20028012,3,250,A092,Anchoa mitchilli,4
2002,TidalCreek,RT022164,20028073,2.7,250,A092,Anchoa mitchilli,6
2002,TidalCreek,RT022165,20027472,2.1,250,A092,Anchoa mitchilli,8
2002,TidalCreek,RT022165,20027473,2.1,250,A092,Anchoa mitchilli,1
2003,OpenWater,RO036035,20038091,3.4,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036038,20038151,7.6,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036039,20038170,8.2,500,A092,Anchoa mitchilli,5
2003,OpenWater,RO036041,20038211,4,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036044,20038270,1.8,500,A092,Anchoa mitchilli,6
2003,OpenWater,RO036048,20038330,4.9,500,A092,Anchoa mitchilli,7
2003,OpenWater,RO036048,20038331,4.6,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036050,20038371,3.4,500,A092,Anchoa mitchilli,4
2003,OpenWater,RO036052,20038390,7.3,500,A092,Anchoa mitchilli,2
2003,OpenWater,RO036053,20038410,2.7,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036053,20038411,3,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036055,20038450,5.2,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036056,20038470,5.5,500,A092,Anchoa mitchilli,1
2003,OpenWater,RO036059,20038531,3.7,500,A092,Anchoa mitchilli,4
2003,TidalCreek,RT032032,20038630,6.1,250,A092,Anchoa mitchilli,5
2003,TidalCreek,RT032032,20038631,4.6,250,A092,Anchoa mitchilli,1
2003,TidalCreek,RT032039,20038690,3.4,250,A092,Anchoa mitchilli,1
2003,TidalCreek,RT032040,20038710,2.7,250,A092,Anchoa mitchilli,2
2003,TidalCreek,RT032040,20038711,2.7,250,A092,Anchoa mitchilli,3
2003,TidalCreek,RT032041,20038730,2.7,250,A092,Anchoa mitchilli,1
2003,TidalCreek,RT032043,20038750,1.8,250,A092,Anchoa mitchilli,1
2003,TidalCreek,RT032045,20038771,2.7,190,A092,Anchoa mitchilli,6
