STATION_ID,SP_CODE,TAXON_NAME,COMMON_NAME,ABUND_AREA,TAX_FLAG,LEVEL
RO026022,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO026151,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT022009,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT022154,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO026014,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT022160,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO036032,A050,Hypanus sabinus,Atlantic stingray,10.86956501,,
RT032035,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT032055,A050,Hypanus sabinus,Atlantic stingray,6.709608078,,
RT032190,A050,Hypanus sabinus,Atlantic stingray,19.32367134,,
RO046077,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO046081,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO046082,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO056099,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT052118,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT06018,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO07338,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO08354,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO08356,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT08078,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT10115,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT11018,A050,Hypanus sabinus,Atlantic stingray,16.46903801,,
RO12328,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT12021,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT12023,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT12024,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO13346,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT13051,A050,Hypanus sabinus,Atlantic stingray,9.534706116,,
RT13054,A050,Hypanus sabinus,Atlantic stingray,14.49275398,,
RO13340,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RO14358,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT14076,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RT14087,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO16390,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT16137,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO17404,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT17155,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO17409,A050,Hypanus sabinus,Atlantic stingray,3.623188496,,
RT17162,A050,Hypanus sabinus,Atlantic stingray,14.49275398,,
RT18187,A050,Hypanus sabinus,Atlantic stingray,7.246376991,,
RO026017,A051,Hypanus say,bluntnose stingray,4.896200657,,
RO026022,A051,Hypanus say,bluntnose stingray,7.246376991,,
RO036041,A051,Hypanus say,bluntnose stingray,3.623188496,,
RO046072,A051,Hypanus say,bluntnose stingray,3.854455709,,
RO056109,A051,Hypanus say,bluntnose stingray,3.623188496,,
RO06310,A051,Hypanus say,bluntnose stingray,3.623188496,,
RO06312,A051,Hypanus say,bluntnose stingray,3.623188496,,
RT06014,A051,Hypanus say,bluntnose stingray,7.246376991,,
RO07338,A051,Hypanus say,bluntnose stingray,3.623188496,,
RO08347,A051,Hypanus say,bluntnose stingray,3.623188496,,
RT08084,A051,Hypanus say,bluntnose stingray,14.49275398,,
RO09361,A051,Hypanus say,bluntnose stingray,3.623188496,,
RT09092,A051,Hypanus say,bluntnose stingray,7.246376991,,
RO11307,A051,Hypanus say,bluntnose stingray,3.623188496,,
RT11007,A051,Hypanus say,bluntnose stingray,6.967669964,,
RT14068,A051,Hypanus say,bluntnose stingray,7.246376991,,
RO99303,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT99040,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT00544,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT00550,A054,Gymnura micrura,smooth butterfly ray,14.49275398,,
RO01164,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT01655,A054,Gymnura micrura,smooth butterfly ray,14.49275398,,
RO01116,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO01132,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT01619,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RO026022,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO026151,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT022006,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT022009,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RO026006,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO026011,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT022164,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT032055,A054,Gymnura micrura,smooth butterfly ray,12.93995857,,
RO046065,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO046073,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT042061,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT042077,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT042064,A054,Gymnura micrura,smooth butterfly ray,14.49275398,,
RO056115,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT052095,A054,Gymnura micrura,smooth butterfly ray,21.73913002,,
RT052104,A054,Gymnura micrura,smooth butterfly ray,14.49275398,,
RT052110,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RO06312,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT06002,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RO07340,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RT07049,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RT08078,A054,Gymnura micrura,smooth butterfly ray,7.246376991,,
RO09363,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO11301,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO12316,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO14354,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO15365,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO16386,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO18417,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO18421,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO18420,A054,Gymnura micrura,smooth butterfly ray,3.623188496,,
RO01165,A059,Rhinoptera bonasus,cownose ray,7.246376991,,
RO99307,A062,Lepisosteus osseus,longnose gar,3.623188496,,
RT00518,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RO00015,A062,Lepisosteus osseus,longnose gar,18.11594248,,
RO026151,A062,Lepisosteus osseus,longnose gar,3.623188496,,
RT022009,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT022165,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT022162,A062,Lepisosteus osseus,longnose gar,21.73913002,,
RT032177,A062,Lepisosteus osseus,longnose gar,14.49275398,,
RT032181,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT042061,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RO056095,A062,Lepisosteus osseus,longnose gar,3.623188496,,
RT052113,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT07055,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT08078,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT09103,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT10133,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT12032,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RO14359,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT14066,A062,Lepisosteus osseus,longnose gar,7.246376991,,
RT99022,A063,Elops saurus,ladyfish,7.246376991,,
RT00523,A063,Elops saurus,ladyfish,21.73913002,,
RT00542,A063,Elops saurus,ladyfish,7.246376991,,
RT032052,A066,Anguilla rostrata,American eel,7.246376991,,
RO06318,A079,Alosa aestivalis,blueback herring,3.623188496,,
RO01122,A080,Alosa mediocris,hickory shad,3.623188496,,
RO056098,A080,Alosa mediocris,hickory shad,76.08695602,,
RT07065,A080,Alosa mediocris,hickory shad,7.246376991,,
RO99307,A082,Alosa sapidissima,shad/American shad,3.623188496,,
RT99040,A082,Alosa sapidissima,shad/American shad,7.246376991,,
RO99323,A084,Brevoortia tyrannus,Atlantic menhaden,3.552145481,,
RT99007,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT00547,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT00549,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO01122,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RT01602,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT01654,A084,Brevoortia tyrannus,Atlantic menhaden,21.73913002,,
RO01162,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT01624,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT01625,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO026030,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RT022016,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT022164,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT032055,A084,Brevoortia tyrannus,Atlantic menhaden,6.709608078,,
RT032057,A084,Brevoortia tyrannus,Atlantic menhaden,43.47826004,,
RT042077,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT042078,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO056114,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RO06304,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO06308,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RO06310,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RO06312,A084,Brevoortia tyrannus,Atlantic menhaden,21.73913097,,
RO06320,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RO06324,A084,Brevoortia tyrannus,Atlantic menhaden,14.49275351,,
RT06001,A084,Brevoortia tyrannus,Atlantic menhaden,159.4202881,,
RT06006,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT06018,A084,Brevoortia tyrannus,Atlantic menhaden,14.49275398,,
RT06028,A084,Brevoortia tyrannus,Atlantic menhaden,21.73913097,,
RT06037,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO06305,A084,Brevoortia tyrannus,Atlantic menhaden,28.98550653,,
RO06313,A084,Brevoortia tyrannus,Atlantic menhaden,21.73913002,,
RO06315,A084,Brevoortia tyrannus,Atlantic menhaden,28.98550797,,
RO06321,A084,Brevoortia tyrannus,Atlantic menhaden,43.47826004,,
RO06326,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO06327,A084,Brevoortia tyrannus,Atlantic menhaden,1261.775421,,
RT06014,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT06036,A084,Brevoortia tyrannus,Atlantic menhaden,36.231884,,
RT09094,A084,Brevoortia tyrannus,Atlantic menhaden,36.23188496,,
RT09098,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO09363,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT09091,A084,Brevoortia tyrannus,Atlantic menhaden,14.49275398,,
RO10392,A084,Brevoortia tyrannus,Atlantic menhaden,10.86956501,,
RT11012,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT12033,A084,Brevoortia tyrannus,Atlantic menhaden,14.49275398,,
RT12037,A084,Brevoortia tyrannus,Atlantic menhaden,21.73913002,,
RT13054,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO14359,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RO15364,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RO15370,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RT16131,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RT17150,A084,Brevoortia tyrannus,Atlantic menhaden,7.246376991,,
RO18422,A084,Brevoortia tyrannus,Atlantic menhaden,3.623188496,,
RT99017,A086,Dorosoma cepedianum,gizzard shad,7.246376991,,
RT01654,A086,Dorosoma cepedianum,gizzard shad,21.73913097,,
RT01654,A088,Opisthonema oglinum,Atlantic thread herring,43.47826004,,
RO046074,A088,Opisthonema oglinum,Atlantic thread herring,3.623188496,,
RT09100,A088,Opisthonema oglinum,Atlantic thread herring,7.246376991,,
RO99305,A090,Anchoa hepsetus,striped anchovy,76.08695984,,
RO99315,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO99322,A090,Anchoa hepsetus,striped anchovy,25.36231804,,
RO99323,A090,Anchoa hepsetus,striped anchovy,7.104290962,,
RO99325,A090,Anchoa hepsetus,striped anchovy,32.60869503,,
RO99330,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RT99005,A090,Anchoa hepsetus,striped anchovy,50.72463703,,
RT99008,A090,Anchoa hepsetus,striped anchovy,14.49275398,,
RO99303,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RT99004,A090,Anchoa hepsetus,striped anchovy,43.47826004,,
RT99006,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RT99009,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RT99028,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RT99038,A090,Anchoa hepsetus,striped anchovy,36.23188496,,
RT99040,A090,Anchoa hepsetus,striped anchovy,14.49275398,,
RO00016,A090,Anchoa hepsetus,striped anchovy,10.86956501,,
RO00036,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO00059,A090,Anchoa hepsetus,striped anchovy,18.115942,,
RO01131,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO01144,A090,Anchoa hepsetus,striped anchovy,14.49275398,,
RO026002,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO026006,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO046074,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO046079,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RO046083,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RT042083,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RO046066,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO046078,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RT06006,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RT06037,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RO07340,A090,Anchoa hepsetus,striped anchovy,3.552145481,,
RT07057,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RO07333,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO10378,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO13345,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO13336,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RT13052,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RO14353,A090,Anchoa hepsetus,striped anchovy,43.47826004,,
RO15366,A090,Anchoa hepsetus,striped anchovy,25.36231899,,
RO16388,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO16386,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO17408,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO17409,A090,Anchoa hepsetus,striped anchovy,3.623188496,,
RO18425,A090,Anchoa hepsetus,striped anchovy,7.246376991,,
RT18179,A090,Anchoa hepsetus,striped anchovy,36.231884,,
RO99307,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO99311,A092,Anchoa mitchilli,bay anchovy,43.47826195,,
RO99312,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RO99315,A092,Anchoa mitchilli,bay anchovy,57.97101402,,
RO99317,A092,Anchoa mitchilli,bay anchovy,50.72463608,,
RO99320,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO99323,A092,Anchoa mitchilli,bay anchovy,107.0616665,,
RO99324,A092,Anchoa mitchilli,bay anchovy,57.97101402,,
RO99327,A092,Anchoa mitchilli,bay anchovy,65.21739244,,
RO99329,A092,Anchoa mitchilli,bay anchovy,83.33333588,,
RO99330,A092,Anchoa mitchilli,bay anchovy,25.36231852,,
RT99003,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT99008,A092,Anchoa mitchilli,bay anchovy,94.20289993,,
RT99017,A092,Anchoa mitchilli,bay anchovy,50.72463703,,
RT99019,A092,Anchoa mitchilli,bay anchovy,65.21739197,,
RT99021,A092,Anchoa mitchilli,bay anchovy,28.98550797,,
RT99022,A092,Anchoa mitchilli,bay anchovy,57.97101593,,
RT99026,A092,Anchoa mitchilli,bay anchovy,21.73913002,,
RT99027,A092,Anchoa mitchilli,bay anchovy,101.4492741,,
RT99036,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RO99308,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RO99310,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RO99316,A092,Anchoa mitchilli,bay anchovy,61.59420109,,
RO99318,A092,Anchoa mitchilli,bay anchovy,10.86956501,,
RO99321,A092,Anchoa mitchilli,bay anchovy,10.86956549,,
RT99006,A092,Anchoa mitchilli,bay anchovy,159.4202881,,
RT99007,A092,Anchoa mitchilli,bay anchovy,21.73913002,,
RT99009,A092,Anchoa mitchilli,bay anchovy,108.695652,,
RT99010,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT99012,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT99024,A092,Anchoa mitchilli,bay anchovy,289.855072,,
RT99028,A092,Anchoa mitchilli,bay anchovy,144.9275379,,
RT99030,A092,Anchoa mitchilli,bay anchovy,311.5942001,,
RT99038,A092,Anchoa mitchilli,bay anchovy,195.6521759,,
RO00016,A092,Anchoa mitchilli,bay anchovy,28.98550797,,
RO00033,A092,Anchoa mitchilli,bay anchovy,250.0000076,,
RO00045,A092,Anchoa mitchilli,bay anchovy,10.86956501,,
RO00058,A092,Anchoa mitchilli,bay anchovy,14.49275351,,
RT00505,A092,Anchoa mitchilli,bay anchovy,43.47826195,,
RT00518,A092,Anchoa mitchilli,bay anchovy,159.4202824,,
RT00519,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT00521,A092,Anchoa mitchilli,bay anchovy,115.942028,,
RT00523,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT00542,A092,Anchoa mitchilli,bay anchovy,13.71635628,,
RT00544,A092,Anchoa mitchilli,bay anchovy,57.97101307,,
RT00547,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RT00557,A092,Anchoa mitchilli,bay anchovy,50.72463799,,
RT00558,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RO00020,A092,Anchoa mitchilli,bay anchovy,79.71014404,,
RT00501,A092,Anchoa mitchilli,bay anchovy,166.6666641,,
RT00541,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RT00554,A092,Anchoa mitchilli,bay anchovy,36.23188496,,
RT00556,A092,Anchoa mitchilli,bay anchovy,16.46903801,,
RO01108,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO01114,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO01117,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RO01122,A092,Anchoa mitchilli,bay anchovy,28.98550701,,
RO01133,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO01146,A092,Anchoa mitchilli,bay anchovy,32.60869503,,
RO01164,A092,Anchoa mitchilli,bay anchovy,18.115942,,
RT01606,A092,Anchoa mitchilli,bay anchovy,94.20289612,,
RT01645,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT01646,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT01654,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RO01123,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO01131,A092,Anchoa mitchilli,bay anchovy,65.21739197,,
RO01132,A092,Anchoa mitchilli,bay anchovy,47.10144997,,
RO01144,A092,Anchoa mitchilli,bay anchovy,25.36231804,,
RO01148,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RO01162,A092,Anchoa mitchilli,bay anchovy,10.86956549,,
RT01624,A092,Anchoa mitchilli,bay anchovy,28.98550701,,
RT01625,A092,Anchoa mitchilli,bay anchovy,231.8840637,,
RT01642,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT01647,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT01649,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT01664,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT01665,A092,Anchoa mitchilli,bay anchovy,123.1884041,,
RO026012,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RO026021,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO026024,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RO026151,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RT022006,A092,Anchoa mitchilli,bay anchovy,28.98550701,,
RT022007,A092,Anchoa mitchilli,bay anchovy,28.98550797,,
RT022008,A092,Anchoa mitchilli,bay anchovy,43.47826099,,
RT022009,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT022016,A092,Anchoa mitchilli,bay anchovy,28.98550797,,
RT022153,A092,Anchoa mitchilli,bay anchovy,152.173913,,
RT022155,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT022165,A092,Anchoa mitchilli,bay anchovy,65.21739292,,
RO026006,A092,Anchoa mitchilli,bay anchovy,65.21739006,,
RT022002,A092,Anchoa mitchilli,bay anchovy,21.18171692,,
RT022022,A092,Anchoa mitchilli,bay anchovy,21.73913097,,
RT022028,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT022162,A092,Anchoa mitchilli,bay anchovy,28.98550797,,
RT022164,A092,Anchoa mitchilli,bay anchovy,43.47826004,,
RO036035,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO036038,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO036039,A092,Anchoa mitchilli,bay anchovy,18.115942,,
RO036041,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO036044,A092,Anchoa mitchilli,bay anchovy,21.73913002,,
RO036048,A092,Anchoa mitchilli,bay anchovy,28.98550653,,
RO036050,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RO036053,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RO036055,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO036056,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
RO036059,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT032032,A092,Anchoa mitchilli,bay anchovy,43.47826099,,
RT032041,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT032045,A092,Anchoa mitchilli,bay anchovy,57.20823669,,
RT032050,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT032177,A092,Anchoa mitchilli,bay anchovy,28.98550797,,
RT032186,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RT032187,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RO036052,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT032040,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RT032174,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT032178,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT032181,A092,Anchoa mitchilli,bay anchovy,36.231884,,
RO046073,A092,Anchoa mitchilli,bay anchovy,79.71014595,,
RO046077,A092,Anchoa mitchilli,bay anchovy,72.46376896,,
RO046084,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RO046085,A092,Anchoa mitchilli,bay anchovy,25.36231804,,
RT042067,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT042070,A092,Anchoa mitchilli,bay anchovy,50.72463608,,
RT042074,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT042075,A092,Anchoa mitchilli,bay anchovy,7.246376991,,
RT042080,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT042083,A092,Anchoa mitchilli,bay anchovy,36.23188496,,
RT042086,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RT042087,A092,Anchoa mitchilli,bay anchovy,79.71014404,,
RT042089,A092,Anchoa mitchilli,bay anchovy,14.49275398,,
RO046072,A092,Anchoa mitchilli,bay anchovy,10.86956501,,
RO046076,A092,Anchoa mitchilli,bay anchovy,3.623188496,,
